gamma,rate,seed,acc,mse_our,mse_naive,graph
0.4,34,2,0.99,0.1,0.3739685692521314,WS_N_100_K_30_P_0.2
0.4,34,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.4,34,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.4,35,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.4,35,1,0.99,0.1,0.373772261851258,WS_N_100_K_30_P_0.2
0.4,35,2,0.99,0.1,0.3745088818081516,WS_N_100_K_30_P_0.2
0.4,35,3,0.99,0.1,0.3732423705983795,WS_N_100_K_30_P_0.2
0.4,35,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.4,36,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.4,36,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.4,36,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.4,36,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.4,36,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.4,37,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.4,37,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.4,37,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.4,37,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.4,37,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.4,38,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.4,38,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.4,38,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.4,38,3,0.99,0.1,0.37419389907700223,WS_N_100_K_30_P_0.2
0.4,38,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.4,39,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.4,39,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.4,39,2,0.99,0.1,0.37301646597963267,WS_N_100_K_30_P_0.2
0.4,39,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.4,39,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.4,40,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.4,40,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.4,40,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.4,40,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.4,40,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.5,30,0,0.86,0.33313121580404964,0.3960863689107968,WS_N_100_K_30_P_0.2
0.5,30,1,0.83,0.33110203039162595,0.3875429153877966,WS_N_100_K_30_P_0.2
0.5,30,2,0.81,0.36505220419836104,0.3895985941721748,WS_N_100_K_30_P_0.2
