gamma,rate,seed,acc,mse_our,mse_naive,graph
0.1,23,2,0.98,0.1414213562373095,0.3761416866644665,WS_N_100_K_30_P_0.2
0.1,23,3,0.97,0.16937378773277706,0.3795494186466585,WS_N_100_K_30_P_0.2
0.1,23,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.1,24,0,0.97,0.17320508075688773,0.3784308539628772,WS_N_100_K_30_P_0.2
0.1,24,1,0.99,0.1,0.37245611939161705,WS_N_100_K_30_P_0.2
0.1,24,2,0.99,0.1,0.37301646597963267,WS_N_100_K_30_P_0.2
0.1,24,3,0.97,0.17320508075688773,0.38063073927760527,WS_N_100_K_30_P_0.2
0.1,24,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.1,25,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.1,25,1,0.99,0.1,0.3720652571542487,WS_N_100_K_30_P_0.2
0.1,25,2,0.98,0.1414213562373095,0.3774580999598072,WS_N_100_K_30_P_0.2
0.1,25,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.1,25,4,0.99,0.1,0.374116278557249,WS_N_100_K_30_P_0.2
0.1,26,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.1,26,1,0.98,0.13692175347562308,0.37652985930827493,WS_N_100_K_30_P_0.2
0.1,26,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.1,26,3,0.98,0.13696338973566874,0.37712638230447826,WS_N_100_K_30_P_0.2
0.1,26,4,0.99,0.1,0.37341555987627995,WS_N_100_K_30_P_0.2
0.1,27,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.1,27,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.1,27,2,0.99,0.1,0.3736719371252514,WS_N_100_K_30_P_0.2
0.1,27,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.1,27,4,0.99,0.1,0.3747283325488726,WS_N_100_K_30_P_0.2
0.1,28,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.1,28,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.1,28,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.1,28,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.1,28,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.1,29,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.1,29,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.1,29,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.1,29,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.1,29,4,0.99,0.1,0.3747283325488726,WS_N_100_K_30_P_0.2
0.2,15,0,0.49,0.3574831155545389,0.31862235854720783,WS_N_100_K_30_P_0.2
0.2,15,1,0.33,0.3837911158537499,0.2960068236417676,WS_N_100_K_30_P_0.2
0.2,15,2,0.43,0.37120838738327205,0.30910198469108874,WS_N_100_K_30_P_0.2
0.2,15,3,0.45,0.37335483023123817,0.30977135309038095,WS_N_100_K_30_P_0.2
0.2,15,4,0.42,0.3771748636540558,0.3105838251510245,WS_N_100_K_30_P_0.2
0.2,16,0,0.55,0.42762697561221813,0.3367694331414158,WS_N_100_K_30_P_0.2
0.2,16,1,0.55,0.4021314524055411,0.31812854604791196,WS_N_100_K_30_P_0.2
0.2,16,2,0.54,0.40006686481435527,0.3214414918786969,WS_N_100_K_30_P_0.2
0.2,16,3,0.53,0.4226002239734691,0.3243796986400288,WS_N_100_K_30_P_0.2
0.2,16,4,0.48,0.44455800638243964,0.32812155330688125,WS_N_100_K_30_P_0.2
0.2,17,0,0.53,0.39696448443755367,0.3126298175864099,WS_N_100_K_30_P_0.2
0.2,17,1,0.63,0.38114284644778884,0.3392309912339816,WS_N_100_K_30_P_0.2
0.2,17,2,0.57,0.4117304706419222,0.337811402168564,WS_N_100_K_30_P_0.2
0.2,17,3,0.63,0.3990474836462953,0.3414464066801227,WS_N_100_K_30_P_0.2
0.2,17,4,0.67,0.3963621860589265,0.35518304209219637,WS_N_100_K_30_P_0.2
0.2,18,0,0.67,0.39875875097906244,0.35791003919594033,WS_N_100_K_30_P_0.2
0.2,18,1,0.66,0.4006944820889266,0.353738399471701,WS_N_100_K_30_P_0.2
0.2,18,2,0.67,0.4068752565239827,0.36510202900439553,WS_N_100_K_30_P_0.2
0.2,18,3,0.76,0.3880664623764984,0.38269713596184696,WS_N_100_K_30_P_0.2
0.2,18,4,0.7,0.3889945863794868,0.3567665046022074,WS_N_100_K_30_P_0.2
0.2,19,0,0.83,0.34034770399166436,0.38605945335600267,WS_N_100_K_30_P_0.2
0.2,19,1,0.86,0.32086910674580343,0.3922474989744741,WS_N_100_K_30_P_0.2
0.2,19,2,0.84,0.3395463456277311,0.3921740528361858,WS_N_100_K_30_P_0.2
0.2,19,3,0.76,0.36411332261797213,0.37706158020643016,WS_N_100_K_30_P_0.2
0.2,19,4,0.71,0.392199070992713,0.37427572098620854,WS_N_100_K_30_P_0.2
0.2,20,0,0.85,0.3285364091917358,0.3901523020562742,WS_N_100_K_30_P_0.2
0.2,20,1,0.82,0.34500649025651964,0.38725230730846455,WS_N_100_K_30_P_0.2
0.2,20,2,0.89,0.29923821189747984,0.38943255815246686,WS_N_100_K_30_P_0.2
0.2,20,3,0.85,0.3320426301229634,0.3899028926080327,WS_N_100_K_30_P_0.2
0.2,20,4,0.86,0.3241318916113562,0.3935918309606548,WS_N_100_K_30_P_0.2
0.2,21,0,0.88,0.3010782078262968,0.39156042773525823,WS_N_100_K_30_P_0.2
0.2,21,1,0.91,0.2734810332436948,0.38894490795579956,WS_N_100_K_30_P_0.2
0.2,21,2,0.86,0.32638431181106126,0.39064889498813193,WS_N_100_K_30_P_0.2
0.2,21,3,0.86,0.3266617490861511,0.3883294970125982,WS_N_100_K_30_P_0.2
0.2,21,4,0.84,0.34560601545831543,0.3939546235088206,WS_N_100_K_30_P_0.2
0.2,22,0,0.97,0.16966993768901684,0.38165461697173986,WS_N_100_K_30_P_0.2
0.2,22,1,0.9,0.291074685450478,0.39266267219486983,WS_N_100_K_30_P_0.2
0.2,22,2,0.91,0.2803154485004908,0.3923599306435745,WS_N_100_K_30_P_0.2
0.2,22,3,0.95,0.2115970738879158,0.3834747802204444,WS_N_100_K_30_P_0.2
0.2,22,4,0.93,0.25440457671336997,0.390483960230114,WS_N_100_K_30_P_0.2
0.2,23,0,0.94,0.2339738401865504,0.38639464325931383,WS_N_100_K_30_P_0.2
0.2,23,1,0.91,0.272683326575885,0.3855106545643277,WS_N_100_K_30_P_0.2
0.2,23,2,0.93,0.2473074860730425,0.3873118547232359,WS_N_100_K_30_P_0.2
0.2,23,3,0.96,0.19669133171278247,0.3830462476799415,WS_N_100_K_30_P_0.2
0.2,23,4,0.99,0.1,0.3737781645820242,WS_N_100_K_30_P_0.2
0.2,24,0,0.96,0.1898963726022,0.37938313048642575,WS_N_100_K_30_P_0.2
0.2,24,1,0.98,0.1365390560689488,0.37491092016700595,WS_N_100_K_30_P_0.2
0.2,24,2,0.97,0.16532336777622622,0.37724490468312344,WS_N_100_K_30_P_0.2
0.2,24,3,0.91,0.2718497799790517,0.38753668156926363,WS_N_100_K_30_P_0.2
0.2,24,4,0.98,0.1414213562373095,0.3779353335139581,WS_N_100_K_30_P_0.2
0.2,25,0,0.98,0.1365390560689488,0.3759095493326768,WS_N_100_K_30_P_0.2
0.2,25,1,0.99,0.1,0.3720652571542487,WS_N_100_K_30_P_0.2
0.2,25,2,0.97,0.16931237367201366,0.37988682730004064,WS_N_100_K_30_P_0.2
0.2,25,3,0.98,0.1414213562373095,0.3788318698673424,WS_N_100_K_30_P_0.2
0.2,25,4,0.97,0.17320508075688773,0.3814877224166506,WS_N_100_K_30_P_0.2
0.2,26,0,0.98,0.1414213562373095,0.3781570624171832,WS_N_100_K_30_P_0.2
0.2,26,1,0.98,0.13692175347562308,0.37652985930827493,WS_N_100_K_30_P_0.2
0.2,26,2,0.99,0.1,0.3745088818081516,WS_N_100_K_30_P_0.2
0.2,26,3,0.97,0.16958469897925546,0.38124704356894823,WS_N_100_K_30_P_0.2
0.2,26,4,0.98,0.13675376235464223,0.37677146608536727,WS_N_100_K_30_P_0.2
0.2,27,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.2,27,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.2,27,2,0.99,0.1,0.3736719371252514,WS_N_100_K_30_P_0.2
0.2,27,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.2,27,4,0.96,0.1901799823639892,0.3814783936893394,WS_N_100_K_30_P_0.2
0.2,28,0,0.98,0.1414213562373095,0.3794695793012888,WS_N_100_K_30_P_0.2
0.2,28,1,0.99,0.1,0.37347547380766116,WS_N_100_K_30_P_0.2
0.2,28,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.2,28,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.2,28,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.2,29,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.2,29,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.2,29,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.2,29,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.2,29,4,0.99,0.1,0.3747283325488726,WS_N_100_K_30_P_0.2
0.3,15,0,0.5,0.3118033764096172,0.2926477263684486,WS_N_100_K_30_P_0.2
0.3,15,1,0.43,0.3124035165097143,0.2684048701092118,WS_N_100_K_30_P_0.2
0.3,15,2,0.49,0.31235586204723,0.2767576098003473,WS_N_100_K_30_P_0.2
0.3,15,3,0.59,0.2709839296154332,0.24599506886955727,WS_N_100_K_30_P_0.2
0.3,15,4,0.51,0.29780400409004537,0.2643396632771578,WS_N_100_K_30_P_0.2
0.3,16,0,0.38,0.34203477712567565,0.2948239308423234,WS_N_100_K_30_P_0.2
0.3,16,1,0.41,0.3126994610394669,0.2828498239100546,WS_N_100_K_30_P_0.2
0.3,16,2,0.41,0.3296013058389106,0.28806319360667487,WS_N_100_K_30_P_0.2
0.3,16,3,0.44,0.32857245693448145,0.28529835194568,WS_N_100_K_30_P_0.2
0.3,16,4,0.39,0.33157613596717295,0.28366147880685005,WS_N_100_K_30_P_0.2
0.3,17,0,0.41,0.3590247175764988,0.28283219494078954,WS_N_100_K_30_P_0.2
0.3,17,1,0.38,0.3430489154313308,0.28372696901481526,WS_N_100_K_30_P_0.2
0.3,17,2,0.41,0.3539684822296145,0.28981024459318544,WS_N_100_K_30_P_0.2
0.3,17,3,0.4,0.34117656371797156,0.275661806058907,WS_N_100_K_30_P_0.2
0.3,17,4,0.46,0.31199041124396704,0.2755905962535786,WS_N_100_K_30_P_0.2
0.3,18,0,0.47,0.40214222858636867,0.296457939399177,WS_N_100_K_30_P_0.2
0.3,18,1,0.52,0.3697441760161592,0.2925240331495976,WS_N_100_K_30_P_0.2
0.3,18,2,0.4,0.40023083698942874,0.28283700488536984,WS_N_100_K_30_P_0.2
0.3,18,3,0.46,0.38715853208397905,0.2909687837151141,WS_N_100_K_30_P_0.2
0.3,18,4,0.52,0.37144245994066316,0.2937449647884806,WS_N_100_K_30_P_0.2
0.3,19,0,0.64,0.3872357755322674,0.3409381785461654,WS_N_100_K_30_P_0.2
0.3,19,1,0.68,0.38522282117879414,0.35871402937023317,WS_N_100_K_30_P_0.2
0.3,19,2,0.65,0.38830950237075296,0.3448439200211422,WS_N_100_K_30_P_0.2
0.3,19,3,0.54,0.3612595467902751,0.30265946776860664,WS_N_100_K_30_P_0.2
0.3,19,4,0.48,0.37204251478403877,0.2859148655213821,WS_N_100_K_30_P_0.2
0.3,20,0,0.65,0.39003222059746095,0.3459517365677743,WS_N_100_K_30_P_0.2
0.3,20,1,0.7,0.37732299602768854,0.35972662656044274,WS_N_100_K_30_P_0.2
0.3,20,2,0.77,0.38023882233225464,0.3853791362117869,WS_N_100_K_30_P_0.2
0.3,20,3,0.71,0.3951496711874148,0.36630075314015503,WS_N_100_K_30_P_0.2
0.3,20,4,0.71,0.38739112350837285,0.36674872459649094,WS_N_100_K_30_P_0.2
0.3,21,0,0.73,0.37398643844026463,0.3721171961245898,WS_N_100_K_30_P_0.2
0.3,21,1,0.8,0.3649114244481191,0.3866098624562586,WS_N_100_K_30_P_0.2
0.3,21,2,0.61,0.38514560594282277,0.33170504171893567,WS_N_100_K_30_P_0.2
0.3,21,3,0.72,0.39103610787051574,0.3686528335654258,WS_N_100_K_30_P_0.2
0.3,21,4,0.7,0.392704963815498,0.36195475615164857,WS_N_100_K_30_P_0.2
0.3,22,0,0.86,0.33107310870117995,0.3974852859014346,WS_N_100_K_30_P_0.2
0.3,22,1,0.76,0.38597152458943756,0.38315317983786723,WS_N_100_K_30_P_0.2
0.3,22,2,0.73,0.379905248700703,0.3716167132384786,WS_N_100_K_30_P_0.2
0.3,22,3,0.86,0.3314772338581651,0.3936313552269319,WS_N_100_K_30_P_0.2
0.3,22,4,0.83,0.3460034268359722,0.38758387984033205,WS_N_100_K_30_P_0.2
0.3,23,0,0.82,0.35980670128554304,0.39188579538211527,WS_N_100_K_30_P_0.2
0.3,23,1,0.83,0.3504804060929135,0.3887593119872327,WS_N_100_K_30_P_0.2
0.3,23,2,0.83,0.34258330987409064,0.38917077345491297,WS_N_100_K_30_P_0.2
0.3,23,3,0.83,0.3502830211769737,0.3893104486071049,WS_N_100_K_30_P_0.2
0.3,23,4,0.81,0.35004866551646063,0.3847708143380474,WS_N_100_K_30_P_0.2
0.3,24,0,0.87,0.30345003208425214,0.3816786970422255,WS_N_100_K_30_P_0.2
0.3,24,1,0.91,0.2798194274554963,0.38923938647384493,WS_N_100_K_30_P_0.2
0.3,24,2,0.88,0.30983635043346863,0.3921009003892124,WS_N_100_K_30_P_0.2
0.3,24,3,0.86,0.3198599050930211,0.38848880031933175,WS_N_100_K_30_P_0.2
0.3,24,4,0.93,0.24959322074462167,0.38887466563265705,WS_N_100_K_30_P_0.2
0.3,25,0,0.94,0.231397618882974,0.3857186244006194,WS_N_100_K_30_P_0.2
0.3,25,1,0.93,0.24684688475087527,0.38635579579078344,WS_N_100_K_30_P_0.2
0.3,25,2,0.91,0.2726573805979442,0.38588449175847045,WS_N_100_K_30_P_0.2
0.3,25,3,0.92,0.2694465210354456,0.3934073924669723,WS_N_100_K_30_P_0.2
0.3,25,4,0.89,0.3042821008103081,0.39667329051629524,WS_N_100_K_30_P_0.2
0.3,26,0,0.95,0.22360679774997896,0.38470013869375524,WS_N_100_K_30_P_0.2
0.3,26,1,0.96,0.1968440158471659,0.38550489058505477,WS_N_100_K_30_P_0.2
0.3,26,2,0.97,0.17320508075688773,0.38183202544658346,WS_N_100_K_30_P_0.2
0.3,26,3,0.94,0.22912879842884365,0.386213680382153,WS_N_100_K_30_P_0.2
0.3,26,4,0.93,0.25187578369907804,0.3888001618413365,WS_N_100_K_30_P_0.2
0.3,27,0,0.95,0.21498594339529936,0.38551197950275157,WS_N_100_K_30_P_0.2
0.3,27,1,0.98,0.13644567096404536,0.37451685019761544,WS_N_100_K_30_P_0.2
0.3,27,2,0.99,0.1,0.3736719371252514,WS_N_100_K_30_P_0.2
0.3,27,3,0.96,0.1903967024367672,0.38279369064957514,WS_N_100_K_30_P_0.2
0.3,27,4,0.93,0.2395222281156984,0.3857364670642709,WS_N_100_K_30_P_0.2
0.3,28,0,0.95,0.2204249303236198,0.38789166378822965,WS_N_100_K_30_P_0.2
0.3,28,1,0.97,0.16937378773277706,0.37913373737768585,WS_N_100_K_30_P_0.2
0.3,28,2,0.96,0.2,0.3844367778129035,WS_N_100_K_30_P_0.2
0.3,28,3,0.99,0.1,0.37358096950074476,WS_N_100_K_30_P_0.2
